Last,Brett,Kode,Art,Vernalisering,Antall planter,Når registrert, comment,,
22,2,22-02,Cardamine hirsuta,FV,8,7/17/2014,,,
22,2,22-02,Cardamine hirsuta,EV,3,1/15/2015,,,
22,2,22-02,Euphorbia maculata,FV,2,6/27/2014,,,
22,2,22-02,Portulaca oleracea ssp. sativa,FV,5,6/27/2014,,,
22,2,22-02,Rorippa palustris,FV,1,7/17/2014,,,
22,2,22-02,Sagina procumbens,FV,5,6/27/2014,,,
22,2,22-02,Sagina procumbens,FV,10,7/17/2014,,,
22,2,22-02,Sagina procumbens,EV,3,1/15/2015,,,
22,2,22-02,Senecio vulgaris,EV,1,1/15/2015,,,
23,2,23-02,Cardamine hirsuta,FV,18,7/17/2014,,,
23,2,23-02,Sonchus asper,FV,1,6/27/2014,,,
24,2,24-02,Cardamine hirsuta,EV,47,1/7/2016,,,
24,2,24-02,Cardamine hirsuta,EV,1,1/7/2016,,,
24,2,24-02,Cardamine hirsuta,EV,4,1/27/2016,,,
24,2,24-02,Cardamine hirsuta,EV,6,4/4/2016,,,
24,2,24-02,Cardamine hirsuta,FV,10,7/2/2014,,,
24,2,24-02,Cardamine hirsuta,FV,12,7/17/2014,,,
24,2,24-02,Cardamine hirsuta,EV,2,1/15/2015,,,
24,2,24-02,Epilobium ciliatum,FV,2,7/17/2014,,,
24,2,24-02,Epilobium ciliatum ,EV,5,1/15/2015,,,
24,2,24-02,Poa annua,FV,1,5/20/2015,,,
24,2,24-02,Poa annua,FV,4,7/2/2014,,,
24,2,24-02,Poa annua,FV,2,7/17/2014,,,
24,2,24-02,Poa annua,EV,1,1/15/2015,,,
24,2,24-02,Senecio vulgaris,FV,1,7/17/2014,,,
24,2,24-02,Senecio vulgaris,EV,3,1/15/2015,,,
24,2,24-02,Urtica dioica,EV,2,1/15/2015,,,
25,2,25-02,Cardamine hirsuta,EV,83,1/7/2016,,,
25,2,25-02,Cardamine hirsuta,EV,1,1/27/2016,,,
25,2,25-02,Cardamine hirsuta,FV,3,5/13/2015,,,
26,2,26-02,Arabis thaliana,EV,50,1/8/2016,,,
26,2,26-02,Arabis thaliana,EV,2,1/8/2016,,,
26,2,26-02,Arabis thaliana,EV,4,1/27/2016,,,
26,2,26-02,Arabis thaliana,EV,1,3/1/2016,,,
26,2,26-02,Arabis thaliana,EV,1,3/29/2016,,,
26,2,26-02,Cardamine hirsuta,EV,59,1/7/2016,,,
26,2,26-02,Cardamine hirsuta,EV,2,1/8/2016,,,
26,2,26-02,Cardamine hirsuta,EV,2,1/27/2016,,,
26,2,26-02,Cardamine hirsuta,EV,2,1/27/2016,,,
26,2,26-02,Cardamine hirsuta,FV,2,5/18/2015,,,
26,2,26-02,Cardamine hirsuta,FV,4,6/12/2015,,,
26,2,26-02,Cardamine hirsuta,FV,1,6/17/2015,,,
26,2,26-02,Cardamine hirsuta,FV,1,6/25/2015,,,
26,2,26-02,Cardamine hirsuta,FV,1,7/9/2015,,,
26,2,26-02,Cardamine hirsuta,FV,3,8/25/2015,,,
26,2,26-02,Cerastium glomeratum,EV,6,1/7/2016,,,
26,2,26-02,Cerastium glomeratum,EV,14,1/8/2016,,,
26,2,26-02,Cerastium glomeratum,EV,7,1/27/2016,,,
26,2,26-02,Cerastium glomeratum,EV,2,2/16/2016,,,
26,2,26-02,Chaenorhinum minus,FV,1,8/25/2015,,,
26,2,26-02,Claytonia perfoliata,EV,2,1/7/2016,,,
26,2,26-02,Draba verna,EV,2,3/15/2016,,,
26,2,26-02,Draba verna,EV,2,3/29/2016,,,
26,2,26-02,Epilobium ciliatum,FV,2,5/18/2015,,,
26,2,26-02,Epilobium ciliatum,FV,1,6/12/2015,,,
26,2,26-02,Epilobium ciliatum,FV,1,6/17/2015,,,
26,2,26-02,Epilobium ciliatum,EV,1,3/29/2016,,,
26,2,26-02,Epilobium ciliatum ,EV,4,1/27/2016,,,
26,2,26-02,Juncus bufonius,EV,1,1/27/2016,,,
26,2,26-02,Juncus bufonius,EV,1,3/29/2016,,,
26,2,26-02,Montia minor,EV,4,1/27/2016,,,
26,2,26-02,Poa annua,FV,5,5/20/2015,,,
26,2,26-02,Poa annua,FV,1,5/20/2015,,,
26,2,26-02,Poa annua,FV,1,6/25/2015,,,
26,2,26-02,Poa annua,FV,2,8/25/2015,,,
26,2,26-02,Poa annua,EV,1,1/7/2016,,,
26,2,26-02,Sagina procumbens,FV,1,6/12/2015,,,
26,2,26-02,Senecio viscosus,FV,1,5/20/2015,,,
26,2,26-02,Solanum nigrum ssp.  nigrum,FV,2,5/20/2015,,,
26,2,26-02,Solanum nigrum ssp.  nigrum,FV,1,7/9/2015,,,
26,2,26-02,Solanum tuberosum 'Amandine',FV,3,8/25/2015,,,
26,2,26-02,Stellaria media,FV,1,5/18/2015,,,
26,2,26-02,Stellaria media,FV,1,8/25/2015,,,
26,2,26-02,Stellaria media,EV,2,1/8/2016,,,
27,2,27-02,Cardamine hirsuta,EV,10,1/7/2016,,,
27,2,27-02,Cardamine hirsuta,EV,1,1/27/2016,,,
27,2,27-02,Cardamine hirsuta,EV,1,3/15/2016,,,
28,2,28-02,Amaranthus viridis,FV,1,6/25/2015,,,
28,2,28-02,Cardamine hirsuta,EV,18,1/7/2016,,,
28,2,28-02,Portulaca oleracea,FV,2,5/20/2015,,,
1,3,1-03,Cardamine hirsuta,FV,1,4/29/2014,,,
1,3,1-03,Cerastium glomeratum,FV,2,4/29/2014,,,
1,3,1-03,Cerastium glomeratum,EV,2,1/15/2015,,,
2,3,2-03,Betula pendula,FV,1,5/13/2014,,,
2,3,2-03,Cardamine hirsuta,FV,7,4/29/2014,,,
2,3,2-03,Cardamine hirsuta,FV,7,5/13/2014,,,
2,3,2-03,Cardamine hirsuta,FV,3,6/12/2014,,,
2,3,2-03,Cardamine hirsuta,FV,1,6/27/2014,,,
2,3,2-03,Cardamine hirsuta,FV,27,7/17/2014,,,
2,3,2-03,Epilobium ciliatum,FV,1,6/27/2014,,,
2,3,2-03,Epilobium ciliatum,FV,35,7/17/2014,,,
2,3,2-03,Epilobium roseum,FV,1,6/12/2014,Latt stå i brett,,
2,3,2-03,Poa annua,FV,1,6/12/2014,,,
2,3,2-03,Poa annua,FV,7,7/17/2014,,,
2,3,2-03,Sagina procumbens,FV,1,6/27/2014,,,
2,3,2-03,Sagina procumbens,FV,2,7/17/2014,,,
2,3,2-03,Sonchus oleraceus,FV,4,5/13/2014,,,
2,3,2-03,Stellaria media,FV,1,7/17/2014,,,
3,3,3-03,Cardamine hirsuta,FV,1,5/13/2014,,,
3,3,3-03,Chenopodium album,FV,2,5/13/2014,,,
3,3,3-03,Epilobium ciliatum,FV,1,7/18/2014,,,
3,3,3-03,Matricaria perforata,EV,1,1/15/2015,,,
3,3,3-03,Poa annua,FV,2,5/13/2014,,,
3,3,3-03,Rubus idaeus,FV,1,7/18/2014,,,
3,3,3-03,Rumex acetosella ssp. acetosella,FV,2,5/13/2014,,,
3,3,3-03,Rumex obtusifolius coll.,FV,1,6/12/2014,,,
3,3,3-03,Stellaria media,FV,1,6/12/2014,,,
3,3,3-03,Stellaria media,FV,1,7/18/2014,,,
3,3,3-03,Stellaria media,EV,1,1/15/2015,,,
4,3,4-03,Capsella bursa-pastoris,FV,1,7/2/2014,,,
4,3,4-03,Cardamine hirsuta,FV,1,5/13/2014,,,
4,3,4-03,Cardamine hirsuta,FV,1,6/12/2014,,,
4,3,4-03,Cardamine hirsuta,FV,1,6/12/2014,,,
4,3,4-03,Cerastium glomeratum,FV,1,7/2/2014,,,
4,3,4-03,Cerastium glomeratum,FV,2,7/17/2014,,,
4,3,4-03,Digitaria ischaemum,FV,1,6/27/2014,,,
4,3,4-03,Digitaria ischaemum,FV,1,6/27/2014,,,
4,3,4-03,Echinochloa crus-galli,FV,5,5/13/2014,,,
4,3,4-03,Echinochloa crus-galli,FV,1,6/12/2014,,,
4,3,4-03,Euphorbia chamaesyce,FV,1,7/18/2014,,,
4,3,4-03,Portulaca oleracea ssp. sativa,FV,2,5/13/2014,,,
4,3,4-03,Setaria verticillata,FV,3,5/13/2014,,,
4,3,4-03,Veronica peregrina,FV,1,6/27/2014,,,
5,3,5-03,Cardamine hirsuta,FV,1,7/17/2014,,,
5,3,5-03,Epilobium ciliatum,FV,1,7/17/2014,,,
6,3,6-03,Euphorbia maculata,FV,1,5/13/2014,,,
6,3,6-03,Euphorbia maculata,FV,1,6/12/2014,,,
6,3,6-03,Senecio vulgaris,FV,1,4/29/2014,,,
7,3,7-03,Cardamine hirsuta,FV,1,7/17/2014,,,
7,3,7-03,Cerastium glomeratum,EV,1,1/15/2015,,,
7,3,7-03,Chenopodium album,FV,9,4/29/2014,,,
7,3,7-03,Conyza canadensis,FV,2,6/27/2014,,,
7,3,7-03,Echinochloa crus-galli,FV,3,4/29/2014,,,
7,3,7-03,Echinochloa crus-galli,FV,1,6/12/2014,,,
7,3,7-03,Rorippa palustris,FV,1,7/17/2014,,,
8,3,8-03,Chenopodium album,FV,5,4/29/2014,,,
8,3,8-03,Poa annua,FV,24,5/13/2014,,,
8,3,8-03,Poa annua,FV,1,6/12/2014,,,
8,3,8-03,Poa annua,FV,2,7/2/2014,,,
8,3,8-03,Poa annua,EV,4,1/15/2015,,,
8,3,8-03,Stellaria media,FV,1,7/2/2014,,,
9,3,9-03,Cardamine hirsuta,FV,2,7/17/2014,,,
9,3,9-03,Stellaria media,FV,6,7/2/2014,,,
9,3,9-03,Stellaria media,FV,1,7/17/2014,,,
11,3,11-03,Cardamine hirsuta,FV,1,7/17/2014,,,
11,3,11-03,Cerastium glomeratum,EV,3,10/6/2015,Det som var satt til side for blomstring (spirt i denne),,
11,3,11-03,Cytisus scoparius,EV,1,10/6/2015,Det som var satt til side for blomstring,,
12,3,12-03,Amaranthus cf. hybridus,FV,1,7/18/2014,,,
12,3,12-03,Cardamine hirsuta,FV,4,7/17/2014,,,
12,3,12-03,Cardamine hirsuta,FV,8,7/17/2014,,,
12,3,12-03,Cardamine hirsuta,EV,2,1/15/2015,,,
12,3,12-03,Cardamine hirsuta,EV,4,1/15/2015,,,
13,3,13-03,Arabis thaliana,FV,5,7/17/2014,,,
13,3,13-03,Arabis thaliana,EV,37,1/15/2015,,,
13,3,13-03,Cerastium glomeratum,FV,1,6/27/2014,,,
13,3,13-03,Cerastium glomeratum,FV,1,7/17/2014,,,
13,3,13-03,Chenopodium album,FV,1,6/12/2014,,,
13,3,13-03,Epilobium ciliatum,FV,2,6/27/2014,,,
13,3,13-03,Oxalis corniculata,FV,1,7/17/2014,,,
13,3,13-03,Poa annua,FV,9,6/12/2014,,,
13,3,13-03,Poa annua,EV,1,1/15/2015,,,
13,3,13-03,Stellaria media,FV,2,6/12/2014,,,
14,3,14-03,Oxalis corniculata,FV,2,7/17/2014,,,
15,3,15-03,Coronopus didymus,FV,3,6/12/2014,,,
15,3,15-03,Oxalis corniculata,EV,1,1/15/2015,,,
16,3,16-03,Cardamine hirsuta,FV,2,6/12/2014,,,
16,3,16-03,Digitaria ischaemum,FV,2,6/27/2014,,,
16,3,16-03,Sagina procumbens,EV,1,1/15/2015,,,
16,3,16-03,Sonchus oleraceus,FV,1,6/12/2014,,,
16,3,16-03,Stellaria media,FV,2,6/12/2014,,,
16,3,16-03,Stellaria media,FV,4,7/17/2014,,,
16,3,16-03,Stellaria media,EV,9,1/15/2015,,,
18,3,18-03,Cardamine hirsuta,FV,49,6/12/2014,,,
18,3,18-03,Cardamine hirsuta,FV,7,6/27/2014,,,
18,3,18-03,Cardamine hirsuta,FV,18,7/17/2014,,,
18,3,18-03,Cardamine hirsuta,EV,13,1/15/2015,,,
18,3,18-03,Epilobium ciliatum,FV,1,6/27/2014,,,
18,3,18-03,Sagina procumbens,FV,3,6/27/2014,,,
18,3,18-03,Sagina procumbens,FV,9,7/17/2014,,,
18,3,18-03,Senecio vulgaris,FV,1,6/12/2014,,,
20,3,20-03,Aethusa cynapium cf. ssp. cynapium,FV,1,9/5/2014,,,
20,3,20-03,Arabis thaliana,FV,1,7/17/2014,,,
20,3,20-03,Arabis thaliana,EV,1,1/15/2015,,,
20,3,20-03,Capsella bursa-pastoris,FV,5,6/12/2014,,,
20,3,20-03,Cardamine hirsuta,EV,2,1/15/2015,,,
20,3,20-03,Chenopodium album,FV,2,6/12/2014,,,
20,3,20-03,Chenopodium album,FV,1,7/2/2014,,,
20,3,20-03,Matricaria perforata,EV,1,1/15/2015,,,
20,3,20-03,Solanum nigrum ssp.  nigrum,FV,3,6/12/2014,,,
21,3,21-03,Capsella bursa-pastoris,FV,1,6/12/2014,,,
21,3,21-03,Cardamine hirsuta,FV,2,6/12/2014,,,
21,3,21-03,Cardamine hirsuta,FV,3,7/2/2014,,,
21,3,21-03,Cardamine hirsuta,EV,4,1/15/2015,,,
21,3,21-03,Chenopodium album,FV,5,6/12/2014,,,
21,3,21-03,Poa annua,FV,5,6/12/2014,,,
21,3,21-03,Poa annua,FV,1,7/2/2014,,,
21,3,21-03,Poa annua,FV,1,7/18/2014,,,
21,3,21-03,Senecio vulgaris,FV,1,6/12/2014,,,
21,3,21-03,Taraxacum officinalis,FV,2,6/12/2014,,,
22,3,22-03,Poa annua,FV,1,7/2/2014,,,
23,3,23-03,Cardamine hirsuta,FV,10,6/27/2014,,,
23,3,23-03,Cardamine hirsuta,EV,4,1/15/2015,,,
24,3,24-03,Cardamine hirsuta,EV,17,1/7/2016,,,
24,3,24-03,Cardamine hirsuta,EV,1,1/27/2016,,,
24,3,24-03,Cardamine hirsuta,FV,8,5/13/2015,,,
24,3,24-03,Cardamine hirsuta,FV,1,5/18/2015,,,
24,3,24-03,Cardamine hirsuta,FV,1,6/12/2015,,,
24,3,24-03,Cardamine hirsuta,FV,1,6/25/2015,,,
24,3,24-03,Epilobium ciliatum,EV,1,1/27/2016,,,
24,3,24-03,Poa annua,FV,8,5/20/2015,,,
24,3,24-03,Poa annua,FV,2,8/25/2015,,,
25,3,25-03,Cardamine hirsuta,EV,72,1/7/2016,,,
25,3,25-03,Cardamine hirsuta,EV,2,1/27/2016,,,
25,3,25-03,Cardamine hirsuta,EV,1,2/16/2016,,,
25,3,25-03,Cardamine hirsuta,EV,1,3/15/2016,,,
26,3,26-03,Cardamine hirsuta,EV,24,1/7/2016,,,
26,3,26-03,Cardamine hirsuta,EV,3,1/27/2016,,,
26,3,26-03,Cardamine hirsuta,EV,1,2/16/2016,,,
26,3,26-03,Solanum tuberosum 'Amandine',FV,4,8/25/2015,,,
26,3,26-03,Stellaria media,FV,4,5/18/2015,,,
26,3,26-03,Stellaria media,FV,1,6/2/2015,,,
26,3,26-03,Stellaria media,FV,1,7/9/2015,,,
26,3,26-03,Stellaria media,FV,3,8/25/2015,,,
26,3,26-03,Stellaria media,EV,11,1/7/2016,,,
27,3,27-03,Cardamine hirsuta,EV,1,2/16/2016,,,
27,3,27-03,Cardamine hirsuta,EV,1,4/4/2016,,,
27,3,27-03,Chenopodiastrum murale,FV,1,6/25/2015,,,
28,3,28-03,Cardamine hirsuta,EV,4,1/7/2016,,,
28,3,28-03,Cardamine hirsuta,EV,1,2/16/2016,,,
28,3,28-03,Poa annua,FV,2,7/9/2015,"Sådd ut tre hye poser: Hxp6, Hxp2, Hxp5",,
28,3,28-03,Poa annua,FV,2,8/25/2015,,,
28,3,28-03,Poa annua,EV,4,1/7/2016,,,
28,3,28-03,Sagina procumbens,EV,1,1/27/2016,,,
29,3,29-03,Cardamine hirsuta,EV,14,1/7/2016,,,
29,3,29-03,Cardamine hirsuta,EV,1,3/1/2016,,,
29,3,29-03,Cardamine hirsuta,EV,3,3/29/2016,,,
29,3,29-03,Chenopodiastrum murale,FV,1,8/25/2015,,,
30,3,30-03,Cardamine hirsuta,EV,5,1/7/2016,,,
30,3,30-03,Cardamine hirsuta,EV,148,1/8/2016,,,
30,3,30-03,Cardamine hirsuta,EV,12,1/27/2016,,,
30,3,30-03,Cardamine hirsuta,EV,6,2/16/2016,,,
30,3,30-03,Cardamine hirsuta,EV,8,3/15/2016,,,
30,3,30-03,Cardamine hirsuta,EV,5,3/29/2016,,,
30,3,30-03,Cardamine hirsuta,EV,5,4/4/2016,,,
30,3,30-03,Cardamine hirsuta,EV,4,4/4/2016,,,
30,3,30-03,Cardamine hirsuta,FV,2,5/20/2015,,,
30,3,30-03,Cardamine hirsuta,FV,4,5/26/2015,,,
30,3,30-03,Cardamine hirsuta,FV,4,7/9/2015,,,
30,3,30-03,Cardamine hirsuta,FV,3,8/25/2015,,,
30,3,30-03,Poa annua,FV,3,5/20/2015,,,
30,3,30-03,Poa annua,FV,1,6/25/2015,,,
30,3,30-03,Sagina procumbens,FV,1,5/28/2015,,,
30,3,30-03,Sagina procumbens,FV,4,6/12/2015,,,
30,3,30-03,Sagina procumbens,FV,1,6/12/2015,,,
30,3,30-03,Sagina procumbens,EV,28,1/8/2016,,,
30,3,30-03,Sagina procumbens,EV,5,1/27/2016,,,
30,3,30-03,Sagina procumbens,EV,2,2/16/2016,,,
30,3,30-03,Sagina procumbens,EV,2,3/1/2016,,,
30,3,30-03,Sagina procumbens,EV,1,3/15/2016,,,
30,3,30-03,Sagina procumbens,EV,1,3/29/2016,,,
30,3,30-03,Sagina procumbens,EV,3,4/4/2016,,,
30,3,30-03,Sagina procumbens,EV,4,4/4/2016,,,
30,3,30-03,Senecio vulgaris,FV,1,5/20/2015,,,
30,3,30-03,Senecio vulgaris,EV,1,1/7/2016,,,
30,3,30-03,Solanum nigrum ssp.  nigrum,FV,1,5/26/2015,,,
31,3,31-03,Arabis thaliana,EV,4,1/8/2016,,,
31,3,31-03,Arabis thaliana,EV,1,1/27/2016,,,
31,3,31-03,Cardamine hirsuta,EV,8,1/7/2016,,,
31,3,31-03,Cardamine hirsuta,EV,1,1/27/2016,,,
31,3,31-03,Cardamine hirsuta,EV,1,4/4/2016,,,
31,3,31-03,Cardamine hirsuta,FV,1,7/9/2015,,,
31,3,31-03,Cardamine hirsuta,FV,2,8/25/2015,,,
31,3,31-03,Chenopodium album,FV,2,5/20/2015,,,
31,3,31-03,Poa annua,FV,1,5/20/2015,,,
31,3,31-03,Poa annua,FV,1,7/9/2015,,,
31,3,31-03,Poa annua,FV,1,8/25/2015,,,
31,3,31-03,Sagina procumbens,FV,7,5/26/2015,,,
31,3,31-03,Sagina procumbens,FV,1,6/25/2015,,,
31,3,31-03,Sagina procumbens,FV,5,7/9/2015,,,
31,3,31-03,Sagina procumbens,EV,6,1/8/2016,,,
31,3,31-03,Sagina procumbens,EV,2,1/27/2016,,,
31,3,31-03,Sagina procumbens,EV,1,3/15/2016,,,
1,4,1-04,Cardamine hirsuta,FV,1,5/13/2014,,,
1,4,1-04,Cardamine hirsuta,FV,5,6/12/2014,,,
1,4,1-04,Cardamine hirsuta,FV,15,6/27/2014,,,
1,4,1-04,Cardamine hirsuta,FV,3,7/17/2014,,,
1,4,1-04,Cardamine hirsuta,FV,3,7/18/2014,,,
1,4,1-04,Cardamine hirsuta,EV,6,1/15/2015,,,
1,4,1-04,Cerastium glomeratum,FV,1,6/12/2014,,,
1,4,1-04,Cerastium glomeratum,FV,1,6/27/2014,,,
1,4,1-04,Cerastium glomeratum,EV,16,1/15/2015,,,
1,4,1-04,Senecio vulgaris,FV,22,4/29/2014,,,
1,4,1-04,Senecio vulgaris,FV,1,6/12/2014,,,
1,4,1-04,Senecio vulgaris,FV,2,6/27/2014,,,
1,4,1-04,Stellaria media,FV,1,4/29/2014,,,
1,4,1-04,Stellaria media,FV,1,6/27/2014,,,
2,4,2-04,Betula pendula,EV,1,1/15/2015,,,
2,4,2-04,Calamagrostis phragmitoides,FV,3,6/27/2014,,,
2,4,2-04,Cardamine hirsuta,FV,7,4/29/2014,,,
2,4,2-04,Cardamine hirsuta,FV,1,5/13/2014,,,
2,4,2-04,Cardamine hirsuta,FV,4,7/17/2014,,,
2,4,2-04,Carex canescens,FV,1,11/24/2014,,,
2,4,2-04,Cerastium glomeratum,FV,1,7/17/2014,,,
2,4,2-04,Cerastium glomeratum,FV,1,7/17/2014,,,
2,4,2-04,Cerastium glomeratum,EV,1,1/15/2015,,,
2,4,2-04,Epilobium ciliatum,FV,1,6/12/2014,,,
2,4,2-04,Epilobium ciliatum,FV,45,7/17/2014,,,
2,4,2-04,Poa annua,FV,1,6/12/2014,,,
2,4,2-04,Poa annua,FV,64,7/2/2014,,,
2,4,2-04,Poa annua,FV,61,7/17/2014,,,
2,4,2-04,Sagina procumbens,FV,4,6/12/2014,,,
2,4,2-04,Sagina procumbens,FV,85,6/27/2014,,,
2,4,2-04,Sagina procumbens,FV,86,7/17/2014,,,
2,4,2-04,Sagina procumbens,EV,1,1/15/2015,,,
2,4,2-04,Sonchus oleraceus,FV,4,5/13/2014,,,
3,4,3-04,Cruciata cf. laevipes ,FV,1,7/17/2014,Korsmaure - bare foreløpig bestemmelse,,
3,4,3-04,Rumex acetosella ssp. acetosella,FV,2,5/13/2014,,,
3,4,3-04,Solanum tuberosum 'Amandine',EV,1,10/6/2015,Det som var satt til side for blomstring,,
4,4,4-04,Cardamine hirsuta,FV,2,7/17/2014,,,
4,4,4-04,Cerastium glomeratum,FV,1,7/17/2014,,,
4,4,4-04,Erysimum cheiranthoides,FV,1,6/12/2014,,,
5,4,5-04,Stellaria media,EV,1,1/15/2015,,,
6,4,6-04,Cardamine hirsuta,FV,1,5/13/2014,,,
6,4,6-04,Cardamine hirsuta,FV,2,7/17/2014,,,
6,4,6-04,Cardamine hirsuta,EV,1,1/15/2015,,,
6,4,6-04,Euphorbia maculata,FV,1,6/12/2014,,,
6,4,6-04,Poa annua,EV,1,1/15/2015,,,
7,4,7-04,Cardamine hirsuta,FV,2,4/29/2014,,,
7,4,7-04,Cardamine hirsuta,FV,1,7/17/2014,,,
7,4,7-04,Cardamine hirsuta,FV,2,7/17/2014,,,
7,4,7-04,Chenopodium album,FV,1,4/29/2014,,,
7,4,7-04,Geranium pusilllum,FV,1,5/13/2014,,,
8,4,8-04,Chenopodium album,FV,21,4/29/2014,,,
8,4,8-04,Chenopodium album,FV,1,6/12/2014,,,
8,4,8-04,Poa annua,FV,21,5/13/2014,,,
8,4,8-04,Poa annua,FV,1,7/17/2014,,,
8,4,8-04,Poa annua,EV,1,1/15/2015,,,
8,4,8-04,Stellaria media,FV,1,6/12/2014,,,
8,4,8-04,Stellaria media,FV,16,7/2/2014,,,
8,4,8-04,Stellaria media,FV,13,7/17/2014,,,
8,4,8-04,Stellaria media,EV,17,1/15/2015,,,
9,4,9-04,Cardamine hirsuta,EV,1,1/15/2015,,,
10,4,10-04,Cardamine hirsuta,FV,1,7/17/2014,,,
10,4,10-04,Poa annua,FV,1,6/12/2014,,,
10,4,10-04,Poa annua,FV,12,7/17/2014,,,
11,4,11-04,Cardamine hirsuta,FV,4,7/17/2014,,,
11,4,11-04,Epilobium ciliatum ,EV,1,1/15/2015,,,
11,4,11-04,Euphorbia prostrata,FV,1,6/27/2014,,,
12,4,12-04,Cardamine hirsuta,EV,4,1/15/2015,,,
13,4,13-04,Arabis thaliana,FV,1,6/27/2014,,,
13,4,13-04,Arabis thaliana,EV,4,1/15/2015,,,
13,4,13-04,Capsella bursa-pastoris,FV,6,6/12/2014,,,
13,4,13-04,Cardamine hirsuta,FV,1,6/12/2014,,,
13,4,13-04,Cerastium glomeratum,FV,2,6/12/2014,,,
13,4,13-04,Chenopodium album,FV,1,6/12/2014,,,
13,4,13-04,Juncus bufonius,FV,1,7/17/2014,,,
13,4,13-04,Matricaria perforata,EV,2,1/15/2015,,,
13,4,13-04,Poa annua,FV,13,6/12/2014,,,
13,4,13-04,Poa annua,FV,1,6/27/2014,,,
13,4,13-04,Poa annua,FV,1,7/2/2014,,,
13,4,13-04,Poa annua,EV,1,1/15/2015,,,
13,4,13-04,Rorippa palustris,FV,1,7/17/2014,,,
13,4,13-04,Solanum nigrum ssp.  nigrum,FV,4,6/12/2014,,,
13,4,13-04,Spergula arvensis,FV,1,7/17/2014,,,
13,4,13-04,Spergularia rubra,FV,1,7/17/2014,,,
13,4,13-04,Urtica urens,FV,1,6/27/2014,,,
14,4,14-04,Poa annua,FV,1,6/12/2014,,,
14,4,14-04,Sagina procumbens,FV,1,7/17/2014,,,
15,4,15-04,Amaranthus blitum,FV,7,6/27/2014,,,
15,4,15-04,Cardamine hirsuta,FV,4,6/12/2014,,,
15,4,15-04,Cardamine hirsuta,FV,2,7/17/2014,,,
15,4,15-04,Oxalis corniculata,FV,1,6/12/2014,,,
15,4,15-04,Oxalis corniculata,FV,1,6/27/2014,,,
15,4,15-04,Oxalis corniculata,FV,7,7/17/2014,,,
15,4,15-04,Oxalis corniculata,EV,2,1/15/2015,,,
15,4,15-04,Solanum nigrum ssp.  nigrum,FV,2,6/12/2014,,,
16,4,16-04,Cardamine hirsuta,FV,7,6/12/2014,,,
16,4,16-04,Cardamine hirsuta,FV,2,6/27/2014,,,
16,4,16-04,Cardamine hirsuta,FV,17,7/17/2014,,,
16,4,16-04,Cardamine hirsuta,EV,2,1/15/2015,,,
16,4,16-04,Euphorbia prostrata,FV,1,6/27/2014,,,
16,4,16-04,Oxalis corniculata,FV,6,7/17/2014,,,
16,4,16-04,Poa annua,FV,1,6/12/2014,,,
16,4,16-04,Salix caprea ssp. caprea,FV,1,6/27/2014,,,
16,4,16-04,Setaria verticillata,FV,1,7/18/2014,,,
18,4,18-04,Cardamine hirsuta,FV,62,6/12/2014,,,
18,4,18-04,Cardamine hirsuta,FV,5,6/27/2014,,,
18,4,18-04,Cardamine hirsuta,FV,7,7/2/2014,,,
18,4,18-04,Cardamine hirsuta,FV,13,7/17/2014,,,
18,4,18-04,Cardamine hirsuta,EV,2,1/15/2015,,,
18,4,18-04,Cerastium glomeratum,FV,2,7/17/2014,,,
18,4,18-04,Conyza canadensis,FV,1,7/17/2014,,,
18,4,18-04,Poa annua,FV,1,6/12/2014,,,
18,4,18-04,Senecio vulgaris,FV,1,6/12/2014,,,
20,4,20-04,Cardamine hirsuta,EV,2,1/15/2015,,,
20,4,20-04,Poa annua,FV,1,7/2/2014,,,
21,4,21-04,Cardamine hirsuta,FV,2,6/12/2014,,,
21,4,21-04,Cardamine hirsuta,EV,4,1/15/2015,,,
21,4,21-04,Poa annua,FV,1,7/2/2014,,,
21,4,21-04,Poa annua,EV,1,1/15/2015,,,
21,4,21-04,Rorippa palustris,FV,2,6/27/2014,,,
22,4,22-04,Digitaria ischaemum,FV,1,6/27/2014,,,
23,4,23-04,Sonchus oleraceus,FV,1,7/17/2014,,,
24,4,24-04,Cardamine hirsuta,EV,5,1/7/2016,,,
24,4,24-04,Cardamine hirsuta,EV,1,1/27/2016,,,
24,4,24-04,Cardamine hirsuta,EV,5,4/4/2016,,,
24,4,24-04,Poa annua,FV,2,5/20/2015,,,
24,4,24-04,Senecio vulgaris,EV,1,1/7/2016,,,
25,4,25-04,Cardamine hirsuta,EV,182,1/7/2016,,,
25,4,25-04,Cardamine hirsuta,EV,2,1/27/2016,,,
25,4,25-04,Cardamine hirsuta,EV,4,2/16/2016,,,
25,4,25-04,Cardamine hirsuta,EV,1,3/29/2016,,,
25,4,25-04,Cerastium glomeratum,EV,1,1/7/2016,,,
25,4,25-04,Sagina procumbens,EV,1,2/16/2016,,,
26,4,26-04,Cardamine hirsuta,EV,36,1/7/2016,,,
26,4,26-04,Cardamine hirsuta,EV,1,1/27/2016,,,
26,4,26-04,Chenopodium album,FV,3,5/18/2015,,,
26,4,26-04,Fallopia convolvolus,FV,1,5/18/2015,,,
26,4,26-04,Solanum tuberosum 'Amandine',EV,2,2/16/2016,,,
26,4,26-04,Stellaria media,FV,1,5/18/2015,,,
26,4,26-04,Urtica urens,FV,2,5/18/2015,,,
