species_latin,container,subsample,amount
Parasitica spp.,85,9,1
Chilopoda spp.,85,9,9
Oligochaeta spp.,85,10,32
Oniscidea spp.,85,10,1
Diptera spp. juv.,85,10,4
Heteroptera spp.,85,10,1
Chilopoda spp.,85,10,1
Diplopoda spp.,85,10,1
Nematoda spp.,85,10,3
Oligochaeta spp.,86,1,47
Aranae spp.,86,1,1
Diptera spp. juv.,86,1,69
Diptera spp. juv.,86,2,1
Oligochaeta spp.,86,3,1
Diptera spp. juv.,86,3,10
Aphiodoidea spp. juv. and adult,86,3,17
Chilopoda spp.,86,3,4
Oligochaeta spp.,86,4,65
Diptera spp. juv.,86,4,1
Symphyta spp. juv.,86,4,3
Thysanoptera spp.,86,4,12
Thysanoptera spp. juv.,86,4,197
Chilopoda spp.,86,4,1
Oligochaeta spp.,86,5,7
Aranae spp.,86,5,1
Diptera spp. juv.,86,5,18
Diptera spp. juv.,86,6,11
Oligochaeta spp.,86,7,37
Diptera spp. juv.,86,7,17
Parasitica spp.,86,7,1
Nematoda spp.,86,7,1
Oligochaeta spp.,86,8,57
Diptera spp. juv.,86,8,41
Parasitica spp.,86,8,1
Lepidoptera spp.,86,8,1
Oligochaeta spp.,86,9,3
Diptera spp. juv.,86,9,45
Chilopoda spp.,86,9,1
Oligochaeta spp.,86,10,15
Aranae spp.,86,10,1
Diptera spp. juv.,86,10,7
Parasitica spp.,86,10,1
Oligochaeta spp.,87,1,1
Aranae spp.,87,1,1
Diptera spp. juv.,87,1,7
Diptera spp.,87,1,1
Diptera spp. juv.,87,2,4
Oligochaeta spp.,87,3,11
Diptera spp. juv.,87,3,18
Diptera spp.,87,3,3
Oligochaeta spp.,87,4,9
Oligochaeta spp.,87,5,87
Diptera spp. juv.,87,5,31
Diptera spp.,87,5,2
Nematoda spp.,87,5,1
Oligochaeta spp.,87,6,9
Aranae spp.,87,6,3
Diptera spp. juv.,87,6,2
Oligochaeta spp.,87,7,9
Diptera spp. juv.,87,7,1
Oligochaeta spp.,87,8,63
Opiliones spp.,87,8,2
Diptera spp. juv.,87,8,10
Aphiodoidea spp. juv. and adult,87,8,3
Thysanoptera spp.,87,8,1
Thysanoptera spp. juv.,87,8,3
Chilopoda spp.,87,8,1
Diplopoda spp.,87,8,3
Nematoda spp.,87,8,2
Aranae spp.,87,9,2
Diptera spp. juv.,87,9,1
Oligochaeta spp.,87,10,10
Diptera spp. juv.,87,10,5
Diplopoda spp.,87,10,1
